STEP 0; EVENT position; UNIT rover-1; POSITION [23,22]
STEP 1; EVENT position; UNIT rover-1; POSITION [23,21]
STEP 2; EVENT position; UNIT rover-1; POSITION [22,22]
STEP 3; EVENT position; UNIT rover-1; POSITION [21,21]
STEP 4; EVENT position; UNIT rover-1; POSITION [21,22]
STEP 5; EVENT position; UNIT rover-1; POSITION [21,23]
STEP 6; EVENT position; UNIT rover-1; POSITION [21,22]
STEP 7; EVENT position; UNIT rover-1; POSITION [21,21]
STEP 8; EVENT position; UNIT rover-1; POSITION [21,22]
STEP 9; EVENT position; UNIT rover-1; POSITION [20,23]
STEP 10; EVENT position; UNIT rover-1; POSITION [19,22]
STEP 11; EVENT position; UNIT rover-1; POSITION [18,22]
STEP 12; EVENT position; UNIT rover-1; POSITION [17,23]
STEP 13; EVENT position; UNIT rover-1; POSITION [17,24]
STEP 14; EVENT position; UNIT rover-1; POSITION [16,23]
STEP 15; EVENT position; UNIT rover-1; POSITION [17,22]
STEP 16; EVENT position; UNIT rover-1; POSITION [18,23]
STEP 17; EVENT position; UNIT rover-1; POSITION [17,24]
STEP 18; EVENT position; UNIT rover-1; POSITION [18,23]
STEP 19; EVENT position; UNIT rover-1; POSITION [17,24]
STEP 20; EVENT position; UNIT rover-1; POSITION [16,24]
STEP 21; EVENT position; UNIT rover-1; POSITION [15,24]
STEP 22; EVENT position; UNIT rover-1; POSITION [16,25]
STEP 23; EVENT position; UNIT rover-1; POSITION [15,25]
STEP 24; EVENT position; UNIT rover-1; POSITION [14,26]
STEP 25; EVENT position; UNIT rover-1; POSITION [13,27]
STEP 26; EVENT position; UNIT rover-1; POSITION [12,26]
STEP 27; EVENT position; UNIT rover-1; POSITION [12,25]
STEP 28; EVENT position; UNIT rover-1; POSITION [11,24]
STEP 29; EVENT position; UNIT rover-1; POSITION [10,25]
STEP 30; EVENT position; UNIT rover-1; POSITION [9,24]
STEP 31; EVENT position; UNIT rover-1; POSITION [10,23]
STEP 32; EVENT position; UNIT rover-1; POSITION [9,24]
